"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
"Randal Cremer";"male";"1828-03-18";"Fareham";"United Kingdom";"Europe";"1903";"The Nobel Peace Prize";"1903-12-10";"for his longstanding and devoted effort in favour of the ideas of peace and arbitration";141358;7936836
"Randy W. Schekman";"male";"1948-12-30";"St. Paul, MN";"USA";"North America";"2013";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells";8000000;8517568
"Raymond Davis Jr.";"male";"1914-10-14";"Washington, DC";"USA";"North America";"2002";"The Nobel Prize in Physics";"2002-10-08";"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos";10000000;12252888
"Reinhard Genzel";"male";"1952-03-24";"Bad Homburg vor der Höhe";"Germany";"Europe";"2020";"The Nobel Prize in Physics";"2020-10-06";"for the discovery of a supermassive compact object at the centre of our galaxy";10000000;10000000
"Reinhard Selten";"male";"1930-10-05";"Breslau";"Germany";"Europe";"1994";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1994-10-11";"for their pioneering analysis of equilibria in the theory of non-cooperative games";7000000;9417195
"Renato Dulbecco";"male";"1914-02-22";"Catanzaro";"Italy";"Europe";"1975";"The Nobel Prize in Physiology or Medicine";"1975-10-16";"for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell";630000;3465908
"René Cassin";"male";"1887-10-05";"Bayonne";"France";"Europe";"1968";"The Nobel Peace Prize";"1968-10-09";"for his struggle to ensure the rights of man as stipulated in the UN Declaration";350000;3107674
"Riccardo Giacconi";"male";"1931-10-06";"Genoa";"Italy";"Europe";"2002";"The Nobel Prize in Physics";"2002-10-08";"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources";10000000;12252888
"Richard Axel";"male";"1946-07-02";"New York, NY";"USA";"North America";"2004";"The Nobel Prize in Physiology or Medicine";"2004-10-04";"for their discoveries of odorant receptors and the organization of the olfactory system";10000000;11976161
"Richard E. Smalley";"male";"1943-06-06";"Akron, OH";"USA";"North America";"1996";"The Nobel Prize in Chemistry";"1996-10-09";"for their discovery of fullerenes";7400000;9662517
"Richard E. Taylor";"male";"1929-11-02";"Medicine Hat, Alberta";"Canada";"North America";"1990";"The Nobel Prize in Physics";"1990-10-17";"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics";4000000;6443882
"Richard F. Heck";"male";"1931-08-15";"Springfield, MA";"USA";"North America";"2010";"The Nobel Prize in Chemistry";"2010-10-06";"for palladium-catalyzed cross couplings in organic synthesis";10000000;11015580
"Richard H. Thaler";"male";"1945-09-12";"East Orange, NJ";"USA";"North America";"2017";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2017-10-09";"for his contributions to behavioural economics";9000000;9342577
"Richard Henderson";"male";"1945-07-19";"Edinburgh";"Scotland";"Europe";"2017";"The Nobel Prize in Chemistry";"2017-10-04";"for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution";9000000;9342577
"Richard J. Roberts";"male";"1943-09-06";"Derby";"United Kingdom";"Europe";"1993";"The Nobel Prize in Physiology or Medicine";"1993-10-11";"for their discoveries of split genes";6700000;9208279
"Richard Kuhn";"male";"1900-12-03";"Vienna";"Austria-Hungary";"Europe";"1938";"The Nobel Prize in Chemistry";NA;"for his work on carotenoids and vitamins";155077;4625656
"Richard L.M. Synge";"male";"1914-10-28";"Liverpool";"United Kingdom";"Europe";"1952";"The Nobel Prize in Chemistry";NA;"for their invention of partition chromatography";171135;2592831
"Richard P. Feynman";"male";"1918-05-11";"New York, NY";"USA";"North America";"1965";"The Nobel Prize in Physics";NA;"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles";282000;2833358
"Richard R. Ernst";"male";"1933-08-14";"Winterthur";"Switzerland";"Europe";"1991";"The Nobel Prize in Chemistry";NA;"for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy";6000000;8831149
"Richard R. Schrock";"male";"1945-01-04";"Berne, IN";"USA";"North America";"2005";"The Nobel Prize in Chemistry";"2005-10-05";"for the development of the metathesis method in organic synthesis";10000000;11923798
"Richard Stone";"male";"1913-08-30";"London";"United Kingdom";"Europe";"1984";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1984-10-18";"for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis";1650000;3850672
"Richard Willstätter";"male";"1872-08-13";"Karlsruhe";"Germany";"Europe";"1915";"The Nobel Prize in Chemistry";"1915-11-11";"for his researches on plant pigments, especially chlorophyll";149223;6330371
"Richard Zsigmondy";"male";"1865-04-01";"Vienna";"Austrian Empire";"Europe";"1925";"The Nobel Prize in Chemistry";NA;"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry";118165;3269232
"Rigoberta Menchú Tum";"female";"1959-01-09";"Aldea Chimel";"Guatemala";"North America";"1992";"The Nobel Peace Prize";"1992-10-16";"for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples";6500000;9350791
"Rita Levi-Montalcini";"female";"1909-04-22";"Turin";"Italy";"Europe";"1986";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of growth factors";2000000;4172678
"Roald Hoffmann";"male";"1937-07-18";"Zloczov";"Poland";"Europe";"1981";"The Nobel Prize in Chemistry";"1981-10-19";"for their theories, developed independently, concerning the course of chemical reactions";1000000;2982813
"Robert A. Millikan";"male";"1868-03-22";"Morrison, IL";"USA";"North America";"1923";"The Nobel Prize in Physics";NA;"for his work on the elementary charge of electricity and on the photoelectric effect";114935;3226631
"Robert B. Laughlin";"male";"1950-11-01";"Visalia, CA";"USA";"North America";"1998";"The Nobel Prize in Physics";"1998-10-13";"for their discovery of a new form of quantum fluid with fractionally charged excitations";7600000;9889843
"Robert B. Wilson";"male";"1937-05-16";"Geneva, NE";"USA";"North America";"2020";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2020-10-12";"for improvements to auction theory and inventions of new auction formats";10000000;10000000
"Robert B. Woodward";"male";"1917-04-10";"Boston, MA";"USA";"North America";"1965";"The Nobel Prize in Chemistry";NA;"for his outstanding achievements in the art of organic synthesis";282000;2833358
"Robert Bárány";"male";"1876-04-22";"Vienna";"Austria";"Europe";"1914";"The Nobel Prize in Physiology or Medicine";"1915-10-29";"for his work on the physiology and pathology of the vestibular apparatus";146900;7190567
"Robert C. Merton";"male";"1944-07-31";"New York, NY";"USA";"North America";"1997";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1997-10-14";"for a new method to determine the value of derivatives";7500000;9746426
"Robert C. Richardson";"male";"1937-06-26";"Washington, DC";"USA";"North America";"1996";"The Nobel Prize in Physics";"1996-10-09";"for their discovery of superfluidity in helium-3";7400000;9662517
"Robert Cecil, Viscount Cecil of Chelwood";"male";"1864-09-14";"London";"United Kingdom";"Europe";"1937";"The Nobel Peace Prize";"1937-11-18";"for his tireless effort in support of the League of Nations, disarmament and peace";158463;4801680
"Robert E. Lucas Jr.";"male";"1937-09-15";"Yakima, WA";"USA";"North America";"1995";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1995-10-10";"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy";7200000;9446598
"Robert F. Curl Jr.";"male";"1933-08-23";"Alice, TX";"USA";"North America";"1996";"The Nobel Prize in Chemistry";"1996-10-09";"for their discovery of fullerenes";7400000;9662517
"Robert F. Engle III";"male";"1942-11-10";"Syracuse, NY";"USA";"North America";"2003";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2003-10-08";"for methods of analyzing economic time series with time-varying volatility (ARCH)";10000000;12021411
"Robert F. Furchgott";"male";"1916-06-04";"Charleston, SC";"USA";"North America";"1998";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system";7600000;9889843
"Robert G. Edwards";"male";"1925-09-27";"Batley";"United Kingdom";"Europe";"2010";"The Nobel Prize in Physiology or Medicine";NA;"for the development of in vitro fertilization";10000000;11015580
"Robert H. Grubbs";"male";"1942-02-27";"Possum Trot, KY";"USA";"North America";"2005";"The Nobel Prize in Chemistry";"2005-10-05";"for the development of the metathesis method in organic synthesis";10000000;11923798
"Robert Hofstadter";"male";"1915-02-05";"New York, NY";"USA";"North America";"1961";"The Nobel Prize in Physics";NA;"for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons";250233;2930643
"Robert Huber";"male";"1937-02-20";"Munich";"Germany";"Europe";"1988";"The Nobel Prize in Chemistry";"1988-10-19";"for the determination of the three-dimensional structure of a photosynthetic reaction centre";2500000;4729931
"Robert J. Aumann";"male";"1930-06-08";"Frankfurt-on-the-Main";"Germany";"Europe";"2005";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2005-10-10";"for having enhanced our understanding of conflict and cooperation through game-theory analysis";10000000;11923798
"Robert J. Lefkowitz";"male";"1943-04-15";"New York, NY";"USA";"North America";"2012";"The Nobel Prize in Chemistry";"2012-10-10";"for studies of G-protein-coupled receptors";8000000;8512821
"Robert J. Shiller";"male";"1946-03-29";"Detroit, MI";"USA";"North America";"2013";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2013-10-14";"for their empirical analysis of asset prices";8000000;8517568
"Robert Koch";"male";"1843-12-11";"Clausthal";"Germany";"Europe";"1905";"The Nobel Prize in Physiology or Medicine";NA;"for his investigations and discoveries in relation to tuberculosis";138089;7753291
"Robert M. Solow";"male";"1924-08-23";"Brooklyn, NY";"USA";"North America";"1987";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1987-10-21";"for his contributions to the theory of economic growth";2175000;4352280
"Robert Mundell";"male";"1932-10-24";"Kingston, ON";"Canada";"North America";"1999";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1999-10-13";"for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas";7900000;10231411
"Robert S. Mulliken";"male";"1896-06-07";"Newburyport, MA";"USA";"North America";"1966";"The Nobel Prize in Chemistry";NA;"for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method";300000;2835149
"Robert Schrieffer";"male";"1931-05-31";"Oak Park, IL";"USA";"North America";"1972";"The Nobel Prize in Physics";NA;"for their jointly developed theory of superconductivity, usually called the BCS-theory";480000;3406394
"Robert W. Fogel";"male";"1927-07-01";"New York, NY";"USA";"North America";"1993";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1993-10-12";"for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change";6700000;9208279
"Robert W. Holley";"male";"1922-01-28";"Urbana, IL";"USA";"North America";"1968";"The Nobel Prize in Physiology or Medicine";NA;"for their interpretation of the genetic code and its function in protein synthesis";350000;3107674
"Robert Woodrow Wilson";"male";"1936-01-10";"Houston, TX";"USA";"North America";"1978";"The Nobel Prize in Physics";"1978-10-17";"for their discovery of cosmic microwave background radiation";725000;2951013
"Roderick MacKinnon";"male";"1956-02-19";"Burlington, MA";"USA";"North America";"2003";"The Nobel Prize in Chemistry";"2003-10-08";"for structural and mechanistic studies of ion channels";10000000;12021411
"Rodney R. Porter";"male";"1917-10-08";"Newton-le-Willows";"United Kingdom";"Europe";"1972";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the chemical structure of antibodies";480000;3406394
"Roger B. Myerson";"male";"1951-03-29";"Boston, MA";"USA";"North America";"2007";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2007-10-15";"for having laid the foundations of mechanism design theory";10000000;11506932
"Roger D. Kornberg";"male";"1947-04-24";"St. Louis, MO";"USA";"North America";"2006";"The Nobel Prize in Chemistry";"2006-10-04";"for his studies of the molecular basis of eukaryotic transcription";10000000;11762169
"Roger Guillemin";"male";"1924-01-11";"Dijon";"France";"Europe";"1977";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the peptide hormone production of the brain";700000;3136854
"Roger Martin du Gard";"male";"1881-03-23";"Neuilly-sur-Seine";"France";"Europe";"1937";"The Nobel Prize in Literature";NA;"for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>";158463;4801680
"Roger Penrose";"male";"1931-08-08";"Colchester";"United Kingdom";"Europe";"2020";"The Nobel Prize in Physics";"2020-10-06";"for the discovery that black hole formation is a robust prediction of the general theory of relativity";10000000;10000000
"Roger W. Sperry";"male";"1913-08-20";"Hartford, CT";"USA";"North America";"1981";"The Nobel Prize in Physiology or Medicine";"1981-10-09";"for his discoveries concerning the functional specialization of the cerebral hemispheres";1000000;2982813
"Roger Y. Tsien";"male";"1952-02-01";"New York, NY";"USA";"North America";"2008";"The Nobel Prize in Chemistry";"2008-10-08";"for the discovery and development of the green fluorescent protein, GFP";10000000;11124709
"Rolf M. Zinkernagel";"male";"1944-01-06";"Basel";"Switzerland";"Europe";"1996";"The Nobel Prize in Physiology or Medicine";"1996-10-07";"for their discoveries concerning the specificity of the cell mediated immune defence";7400000;9662517
"Romain Rolland";"male";"1866-01-29";"Clamecy";"France";"Europe";"1915";"The Nobel Prize in Literature";"1916-11-09";"as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings";149223;6330371
"Ronald G.W. Norrish";"male";"1897-11-09";"Cambridge";"United Kingdom";"Europe";"1967";"The Nobel Prize in Chemistry";NA;"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy";320000;2895166
"Ronald H. Coase";"male";"1910-12-29";"Willesden";"United Kingdom";"Europe";"1991";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1991-10-15";"for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy";6000000;8831149
"Ronald Ross";"male";"1857-05-13";"Almora";"India";"Asia";"1902";"The Nobel Prize in Physiology or Medicine";NA;"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it";141847;8205634
"Rosalyn Yalow";"female";"1921-07-19";"New York, NY";"USA";"North America";"1977";"The Nobel Prize in Physiology or Medicine";NA;"for the development of radioimmunoassays of peptide hormones";700000;3136854
"Roy J. Glauber";"male";"1925-09-01";"New York, NY";"USA";"North America";"2005";"The Nobel Prize in Physics";"2005-10-04";"for his contribution to the quantum theory of optical coherence";10000000;11923798
"Rudolf Eucken";"male";"1846-01-05";"Aurich";"East Friesland";"Europe";"1908";"The Nobel Prize in Literature";NA;"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life";139800;7212924
"Rudolf Mössbauer";"male";"1929-01-31";"Munich";"Germany";"Europe";"1961";"The Nobel Prize in Physics";NA;"for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name";250233;2930643
"Rudolph A. Marcus";"male";"1923-07-21";"Montreal";"Canada";"North America";"1992";"The Nobel Prize in Chemistry";"1992-10-12";"for his contributions to the theory of electron transfer reactions in chemical systems";6500000;9350791
"Rudyard Kipling";"male";"1865-12-30";"Bombay";"British India";"Asia";"1907";"The Nobel Prize in Literature";NA;"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author";138796;7161123
"Russell A. Hulse";"male";"1950-11-28";"New York, NY";"USA";"North America";"1993";"The Nobel Prize in Physics";"1993-10-13";"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation";6700000;9208279
"Ryoji Noyori";"male";"1938-09-03";"Kobe";"Japan";"Asia";"2001";"The Nobel Prize in Chemistry";"2001-10-10";"for their work on chirally catalysed hydrogenation reactions";10000000;12518033
"Sin-Itiro Tomonaga";"male";"1906-03-31";"Kyoto";"Japan";"Asia";"1965";"The Nobel Prize in Physics";NA;"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles";282000;2833358
"Sinclair Lewis";"male";"1885-02-07";"Sauk Centre, MN";"USA";"North America";"1930";"The Nobel Prize in Literature";NA;"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters";172947;5158685
"Sir Alexander Fleming";"male";"1881-08-06";"Lochfield";"Scotland";"Europe";"1945";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of penicillin and its curative effect in various infectious diseases";121333;2545326
"Sir Arthur Lewis";"male";"1915-01-23";"Castries";"British West Indies";"North America";"1979";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1979-10-16";"for their pioneering research into economic development research with particular consideration of the problems of developing countries";800000;3042231
"Sir Austen Chamberlain";"male";"1863-10-16";"Birmingham";"United Kingdom";"Europe";"1925";"The Nobel Peace Prize";"1926-12-10";"for his crucial role in bringing about the Locarno Treaty";118165;3269232
"Sir Bernard Katz";"male";"1911-03-26";"Leipzig";"Germany";"Europe";"1970";"The Nobel Prize in Physiology or Medicine";"1970-10-15";"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation";400000;3235593
"Sir Chandrasekhara Venkata Raman";"male";"1888-11-07";"Tiruchirappalli";"India";"Asia";"1930";"The Nobel Prize in Physics";NA;"for his work on the scattering of light and for the discovery of the effect named after him";172947;5158685
"Sir Charles Sherrington";"male";"1857-11-27";"London";"United Kingdom";"Europe";"1932";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries regarding the functions of neurons";171753;5375024
"Sir Cyril Hinshelwood";"male";"1897-05-19";"London";"United Kingdom";"Europe";"1956";"The Nobel Prize in Chemistry";NA;"for their researches into the mechanism of chemical reactions";200123;2748452
"Sir Frank Macfarlane Burnet";"male";"1899-09-03";"Traralgon";"Australia";"Oceania";"1960";"The Nobel Prize in Physiology or Medicine";"1960-10-20";"for discovery of acquired immunological tolerance";225987;2713265
"Sir Frederick Hopkins";"male";"1861-06-20";"Eastbourne";"United Kingdom";"Europe";"1929";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the growth-stimulating vitamins";172760;4996952
"Sir Gregory P. Winter";"male";"1951-04-14";"Leicester";"United Kingdom";"Europe";"2018";"The Nobel Prize in Chemistry";"2018-10-03";"for the phage display of peptides and antibodies";9000000;9163200
"Sir Harold Kroto";"male";"1939-10-07";"Wisbech";"United Kingdom";"Europe";"1996";"The Nobel Prize in Chemistry";"1996-10-09";"for their discovery of fullerenes";7400000;9662517
"Sir Henry Dale";"male";"1875-06-09";"London";"United Kingdom";"Europe";"1936";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries relating to chemical transmission of nerve impulses";159850;5002519
"Sir Howard Florey";"male";"1898-09-24";"Adelaide";"Australia";"Oceania";"1945";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of penicillin and its curative effect in various infectious diseases";121333;2545326
"Sir J. Fraser Stoddart";"male";"1942-05-24";"Edinburgh";"United Kingdom";"Europe";"2016";"The Nobel Prize in Chemistry";"2016-10-05";"for the design and synthesis of molecular machines";8000000;8451577
"Sir James W. Black";"male";"1924-06-14";"Uddingston";"Scotland";"Europe";"1988";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of important principles for drug treatment";2500000;4729931
"Sir John B. Gurdon";"male";"1933-10-02";"Dippenhall";"United Kingdom";"Europe";"2012";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery that mature cells can be reprogrammed to become pluripotent";8000000;8512821
"Sir John Eccles";"male";"1903-01-27";"Melbourne";"Australia";"Oceania";"1963";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane";265000;2890771
"Sir Martin J. Evans";"male";"1941-01-01";"Stroud";"United Kingdom";"Europe";"2007";"The Nobel Prize in Physiology or Medicine";"2007-10-08";"for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells";10000000;11506932
"Sir Nevill F. Mott";"male";"1905-09-30";"Leeds";"United Kingdom";"Europe";"1977";"The Nobel Prize in Physics";"1977-10-11";"for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems";700000;3136854
"Sir Norman Angell";"male";"1872-12-26";"Holbeach";"United Kingdom";"Europe";"1933";"The Nobel Peace Prize";"1934-12-10";"for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace";170332;5511251
"Sir Paul Nurse";"male";"1949-01-25";"Norwich";"United Kingdom";"Europe";"2001";"The Nobel Prize in Physiology or Medicine";"2001-10-08";"for their discoveries of key regulators of the cell cycle";10000000;12518033
"Sir Peter J. Ratcliffe";"male";"1954-05-14";"Lancashire";"United Kingdom";"Europe";"2019";"The Nobel Prize in Physiology or Medicine";"2019-10-07";"for their discoveries of how cells sense and adapt to oxygen availability";9000000;9000000
"Sir Peter Mansfield";"male";"1933-10-09";"London";"United Kingdom";"Europe";"2003";"The Nobel Prize in Physiology or Medicine";"2003-10-06";"for their discoveries concerning magnetic resonance imaging";10000000;12021411
"Sir Robert Robinson";"male";"1886-09-13";"Rufford, near Chesterfield";"United Kingdom";"Europe";"1947";"The Nobel Prize in Chemistry";NA;"for his investigations on plant products of biological importance, especially the alkaloids";146115;2967378
"Sir William Ramsay";"male";"1852-10-02";"Glasgow";"Scotland";"Europe";"1904";"The Nobel Prize in Chemistry";NA;"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system";140859;7908819
"Stanford Moore";"male";"1913-09-04";"Chicago, IL";"USA";"North America";"1972";"The Nobel Prize in Chemistry";NA;"for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule";480000;3406394
"Stanley B. Prusiner";"male";"1942-05-28";"Des Moines, IA";"USA";"North America";"1997";"The Nobel Prize in Physiology or Medicine";"1997-10-06";"for his discovery of Prions - a new biological principle of infection";7500000;9746426
"Stanley Cohen";"male";"1922-11-17";"Brooklyn, NY";"USA";"North America";"1986";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of growth factors";2000000;4172678
"Stefan W. Hell";"male";"1962-12-23";"Arad";"Romania";"Europe";"2014";"The Nobel Prize in Chemistry";"2014-10-08";"for the development of super-resolved fluorescence microscopy";8000000;8531844
"Steven Chu";"male";"1948-02-28";"St. Louis, MO";"USA";"North America";"1997";"The Nobel Prize in Physics";"1997-10-15";"for development of methods to cool and trap atoms with laser light";7500000;9746426
"Steven Weinberg";"male";"1933-05-03";"New York, NY";"USA";"North America";"1979";"The Nobel Prize in Physics";"1979-10-15";"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current";800000;3042231
"Subramanyan Chandrasekhar";"male";"1910-10-19";"Lahore";"India";"Asia";"1983";"The Nobel Prize in Physics";"1983-10-19";"for his theoretical studies of the physical processes of importance to the structure and evolution of the stars";1500000;3782695
"Sully Prudhomme";"male";"1839-03-16";"Paris";"France";"Europe";"1901";"The Nobel Prize in Literature";NA;"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect";150782;8722510
"Sune K. Bergström";"male";"1916-01-10";"Stockholm";"Sweden";"Europe";"1982";"The Nobel Prize in Physiology or Medicine";"1982-10-11";"for their discoveries concerning prostaglandins and related biologically active substances";1150000;3158777
"Susumu Tonegawa";"male";"1939-09-05";"Nagoya";"Japan";"Asia";"1987";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the genetic principle for generation of antibody diversity";2175000;4352280
"Svante Arrhenius";"male";"1859-02-19";"Vik";"Sweden";"Europe";"1903";"The Nobel Prize in Chemistry";NA;"in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation";141358;7936836
"Svetlana Alexievich";"female";"1948-05-31";"Ivano-Frankivsk";"Ukraine";"Europe";"2015";"The Nobel Prize in Literature";"2015-10-08";"for her polyphonic writings, a monument to suffering and courage in our time";8000000;8536613
"Sydney Brenner";"male";"1927-01-13";"Germiston";"South Africa";"Africa";"2002";"The Nobel Prize in Physiology or Medicine";"2002-10-07";"for their discoveries concerning genetic regulation of organ development and programmed cell death'";10000000;12252888
"Syukuro Manabe";"male";"1931-09-21";"Shingu, Ehime";"Japan";"Asia";"2021";"The Nobel Prize in Physics";"2021-10-05";"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming";10000000;10000000
"T.S. Eliot";"male";"1888-09-26";"St. Louis, MO";"USA";"North America";"1948";"The Nobel Prize in Literature";NA;"for his outstanding, pioneer contribution to present-day poetry";159773;3112313
"Tadeus Reichstein";"male";"1897-07-20";"Wloclawek";"Poland";"Europe";"1950";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects";164304;3105508
"Takaaki Kajita";"male";"1959-03-09";"Higashimatsuyama";"Japan";"Asia";"2015";"The Nobel Prize in Physics";"2015-10-06";"for the discovery of neutrino oscillations, which shows that neutrinos have mass";8000000;8536613
"Tasuku Honjo";"male";"1942-01-27";"Kyoto";"Japan";"Asia";"2018";"The Nobel Prize in Physiology or Medicine";NA;"for their discovery of cancer therapy by inhibition of negative immune regulation";9000000;9163200
"Tawakkol Karman";"female";"1979-02-07";"Ta'izz";"Yemen";"Asia";"2011";"The Nobel Peace Prize";"2011-10-07";"for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work";10000000;10736783
"The 14th Dalai Lama";"male";"1935-07-06";"Taktser";"Tibet";"Asia";"1989";"The Nobel Peace Prize";"1989-10-05";"for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people";3000000;5337372
"The Svedberg";"male";"1884-08-30";"Fleräng";"Sweden";"Europe";"1926";"The Nobel Prize in Chemistry";NA;"for his work on disperse systems";116960;3332487
"Theodor Kocher";"male";"1841-08-25";"Bern";"Switzerland";"Europe";"1909";"The Nobel Prize in Physiology or Medicine";NA;"for his work on the physiology, pathology and surgery of the thyroid gland";139800;7212924
"Theodor Mommsen";"male";"1817-11-30";"Garding";"Schleswig";"Europe";"1902";"The Nobel Prize in Literature";NA;"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>";141847;8205634
"Theodor W. Hänsch";"male";"1941-10-30";"Heidelberg";"Germany";"Europe";"2005";"The Nobel Prize in Physics";"2005-10-04";"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique";10000000;11923798
"Theodore Roosevelt";"male";"1858-10-27";"New York, NY";"USA";"North America";"1906";"The Nobel Peace Prize";"1906-12-10";"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia";138536;7556149
"Theodore W. Richards";"male";"1868-01-31";"Germantown, PA";"USA";"North America";"1914";"The Nobel Prize in Chemistry";"1915-11-11";"in recognition of his accurate determinations of the atomic weight of a large number of chemical elements";146900;7190567
"Theodore W. Schultz";"male";"1902-04-30";"Arlington, SD";"USA";"North America";"1979";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1979-10-16";"for their pioneering research into economic development research with particular consideration of the problems of developing countries";800000;3042231
"Thomas A. Steitz";"male";"1940-08-23";"Milwaukee, WI";"USA";"North America";"2009";"The Nobel Prize in Chemistry";"2009-10-07";"for studies of the structure and function of the ribosome";10000000;11157218
"Thomas C. Schelling";"male";"1921-04-14";"Oakland, CA";"USA";"North America";"2005";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2005-10-10";"for having enhanced our understanding of conflict and cooperation through game-theory analysis";10000000;11923798
